subject	who	net	comparison	value
0	model	8	1	0.0
1	model	8	1	0.0
2	model	8	1	0.0
3	model	8	1	0.0
4	model	8	1	0.0
5	model	8	1	0.0
6	model	8	1	0.0
7	model	8	1	0.0
8	model	8	1	0.0
9	model	8	1	0.0
10	model	8	1	0.0
11	model	8	1	0.0
12	model	8	1	0.0
13	model	8	1	0.0
14	model	8	1	0.0
15	model	8	1	0.0
16	model	8	1	0.0
17	model	8	1	0.0
18	model	8	1	0.0
19	model	8	1	0.0
20	model	8	1	0.0
21	model	8	1	0.0
22	model	8	1	0.0
23	model	8	1	0.0
24	model	8	1	0.0
0	model	8	0.5	-0.00258712134524286
1	model	8	0.5	-0.0007750757104341144
2	model	8	0.5	-0.04779667596701742
3	model	8	0.5	-0.055202071615863435
4	model	8	0.5	-0.045280624761279364
5	model	8	0.5	-0.03960578480249766
6	model	8	0.5	-0.02887749926383787
7	model	8	0.5	-0.04271489570329512
8	model	8	0.5	-0.03768840216530789
9	model	8	0.5	-0.03172244577582273
10	model	8	0.5	-0.057799715134940644
11	model	8	0.5	-0.0639450956243397
12	model	8	0.5	-0.060006670349675884
13	model	8	0.5	-0.019014867801694924
14	model	8	0.5	-0.04398017215350747
15	model	8	0.5	-0.038868206904700386
16	model	8	0.5	-0.041110924868397514
17	model	8	0.5	-0.031732554400201396
18	model	8	0.5	-0.056442287200728525
19	model	8	0.5	-0.007460004833128253
20	model	8	0.5	-0.0572705767968692
21	model	8	0.5	-0.041553912534542214
22	model	8	0.5	-0.010233996121552957
23	model	8	0.5	-0.031120489344617308
24	model	8	0.5	-0.019432334364998693
0	model	8	0.4	-0.007696462487750355
1	model	8	0.4	-0.03284223530426211
2	model	8	0.4	-0.06592899117324325
3	model	8	0.4	-0.07728544545291016
4	model	8	0.4	-0.055359015545281554
5	model	8	0.4	-0.057787434722120334
6	model	8	0.4	-0.06969059468749639
7	model	8	0.4	-0.043899601533691435
8	model	8	0.4	-0.05823146350008479
9	model	8	0.4	-0.06096781298200438
10	model	8	0.4	-0.09034442461449321
11	model	8	0.4	-0.10031069307231077
12	model	8	0.4	-0.08864079497775401
13	model	8	0.4	-0.04271941412663005
14	model	8	0.4	-0.05532009746313338
15	model	8	0.4	-0.0680931384475425
16	model	8	0.4	-0.0481632525787028
17	model	8	0.4	-0.05336414094049491
18	model	8	0.4	-0.07553445074618348
19	model	8	0.4	-0.011476606918527588
20	model	8	0.4	-0.0839345715932962
21	model	8	0.4	-0.06832764769309696
22	model	8	0.4	-0.04736545560413141
23	model	8	0.4	-0.038063120804991746
24	model	8	0.4	-0.03251644118313135
0	model	8	0.1	-0.05214538148480197
1	model	8	0.1	-0.17995748391178512
2	model	8	0.1	-0.30313819204207115
3	model	8	0.1	-0.2686000157199011
4	model	8	0.1	-0.22023362270294033
5	model	8	0.1	-0.2558247251925875
6	model	8	0.1	-0.2997158316870625
7	model	8	0.1	-0.2721602139876447
8	model	8	0.1	-0.3210241055834492
9	model	8	0.1	-0.27991774420688487
10	model	8	0.1	-0.4125156306049216
11	model	8	0.1	-0.3403713426508995
12	model	8	0.1	-0.3669272018478994
13	model	8	0.1	-0.15862023635753975
14	model	8	0.1	-0.2869302835313494
15	model	8	0.1	-0.4280549153525397
16	model	8	0.1	-0.23933082651497817
17	model	8	0.1	-0.24525652972619616
18	model	8	0.1	-0.29903138972486865
19	model	8	0.1	-0.0938194236694121
20	model	8	0.1	-0.2880383681352382
21	model	8	0.1	-0.3660283413729879
22	model	8	0.1	-0.18740051778013167
23	model	8	0.1	-0.22759525459961594
24	model	8	0.1	-0.2354760690887132
0	model	8	0.05	-0.1163003844614342
1	model	8	0.05	-0.2870253382254033
2	model	8	0.05	-0.43223984362438717
3	model	8	0.05	-0.3644495151963245
4	model	8	0.05	-0.322377430333628
5	model	8	0.05	-0.38355893377747297
6	model	8	0.05	-0.44998893228988845
7	model	8	0.05	-0.43421111280401037
8	model	8	0.05	-0.5898355053947841
9	model	8	0.05	-0.501025416806751
10	model	8	0.05	-0.5588929478422476
11	model	8	0.05	-0.49639330934117876
12	model	8	0.05	-0.5430733831093296
13	model	8	0.05	-0.2796228390029428
14	model	8	0.05	-0.44577208380271527
15	model	8	0.05	-0.6126890708246342
16	model	8	0.05	-0.4040144615202531
17	model	8	0.05	-0.36638178617009776
18	model	8	0.05	-0.3997380649624753
19	model	8	0.05	-0.16524748659719857
20	model	8	0.05	-0.4013341909236504
21	model	8	0.05	-0.5057185395786022
22	model	8	0.05	-0.3324237986661872
23	model	8	0.05	-0.4662886695956394
24	model	8	0.05	-0.4468533888268277
